LDR,NTC,AccX,AccY,AccZ
0.0,198.0,-1.45,0.24,10.0
0.0,200.0,-1.45,0.2,9.96
0.0,202.0,-1.45,0.24,9.92
0.0,199.0,-1.45,0.2,9.85
0.0,200.0,-1.41,0.16,9.92
0.0,202.0,-1.37,0.16,9.96
0.0,202.0,-1.45,0.2,10.0
0.0,200.0,-1.41,0.24,9.81
0.0,202.0,-1.49,0.16,9.96
0.0,196.0,-1.37,0.24,9.85
0.0,198.0,-1.37,0.16,9.92
0.0,200.0,-1.37,0.2,9.92
0.0,200.0,-1.41,0.24,9.92
0.0,201.0,-1.41,0.2,9.81
0.0,201.0,-1.37,0.2,9.92
0.0,200.0,-1.41,0.2,10.0
0.0,201.0,-1.41,0.24,9.89
0.0,201.0,-1.37,0.16,9.89
0.0,200.0,-1.41,0.2,9.96
0.0,202.0,-1.41,0.24,9.92
0.0,201.0,-1.37,0.2,9.92
0.0,200.0,-1.49,0.2,10.0
0.0,200.0,-1.37,0.16,9.92
0.0,202.0,-1.41,0.16,9.92
0.0,201.0,-1.37,0.16,10.0
0.0,202.0,-1.41,0.24,9.89
0.0,198.0,-1.49,0.16,9.85
0.0,200.0,-1.61,0.12,9.96
0.0,197.0,-1.53,-0.04,9.77
0.0,201.0,-1.53,0.04,10.0
0.0,202.0,-1.37,0.0,9.96
0.0,202.0,-1.41,0.0,9.92
0.0,200.0,-1.33,-0.08,9.96
0.0,202.0,-1.41,-0.04,9.85
0.0,201.0,-1.41,-0.12,9.92
0.0,201.0,-1.45,-0.08,9.92
92.06,201.0,-1.53,-0.12,9.89
257.46,204.0,-1.65,-0.08,9.89
128.79,203.0,-1.53,-0.08,10.08
32.35,201.0,-1.61,-0.16,9.81
127.72,202.0,-1.45,-0.04,9.81
304.85,203.0,-1.14,-0.08,10.24
470.01,206.0,-1.29,-0.16,9.89
0.0,201.0,-1.33,-0.24,9.92
55.92,202.0,-1.33,-0.2,9.85
482.81,207.0,-1.26,-0.2,9.92
483.28,205.0,-1.22,-0.24,9.92
348.45,205.0,-1.29,-0.2,9.85
479.25,208.0,-1.33,-0.16,9.96
465.98,206.0,-1.29,-0.24,9.92
472.38,206.0,-1.22,-0.35,9.92
56.87,204.0,-1.37,-0.2,10.0
39.69,202.0,-1.22,-0.24,9.85
52.84,202.0,-1.26,-0.2,9.89
427.48,206.0,-1.33,-0.2,9.92
86.02,202.0,-1.29,-0.31,9.92
99.05,202.0,-1.33,-0.24,9.85
8.41,201.0,-1.33,-0.27,9.92
109.36,202.0,-1.29,-0.24,9.85
82.7,202.0,-1.26,-0.31,9.81
86.61,202.0,-1.26,-0.27,9.89
479.49,205.0,-1.26,-0.24,9.85
96.32,200.0,-1.29,-0.24,9.92
450.22,206.0,-1.29,-0.24,9.85
105.09,204.0,-1.33,-0.31,9.96
147.74,202.0,-1.33,-0.24,9.85
107.46,202.0,-1.22,-0.24,9.81
19.79,202.0,-1.26,-0.31,9.96
196.68,205.0,-1.33,-0.2,9.92
0.0,203.0,-1.26,-0.27,9.85
475.22,208.0,-1.29,-0.27,9.92
53.79,202.0,-1.29,-0.27,9.89
209.24,203.0,-1.33,-0.2,9.89
259.59,205.0,-1.33,-0.27,9.85
139.1,202.0,-1.29,-0.24,9.85
26.42,203.0,-1.26,-0.24,9.81
100.23,202.0,-1.33,-0.24,9.89
87.68,202.0,-1.26,-0.27,9.89
201.53,203.0,-1.26,-0.24,10.08
198.93,204.0,-1.22,-0.27,9.96
31.87,203.0,-1.26,-0.31,9.89
7.35,203.0,-1.22,-0.31,9.85
132.7,207.0,-1.26,-0.24,9.96
408.87,207.0,-1.26,-0.27,9.85
10.19,205.0,-1.26,-0.27,9.92
23.1,204.0,-1.29,-0.27,9.89
75.47,204.0,-1.26,-0.27,9.89
114.57,207.0,-1.26,-0.24,10.0
168.36,206.0,-1.26,-0.27,9.85
149.28,204.0,-1.22,-0.16,9.85
32.35,204.0,-1.26,-0.31,9.89
306.27,205.0,-1.22,-0.27,9.92
74.76,203.0,-1.29,-0.27,9.96
5.09,203.0,-1.26,-0.24,9.89
99.52,204.0,-1.29,-0.27,9.89
158.88,206.0,-1.26,-0.24,9.92
53.08,206.0,-1.18,-0.31,9.81
58.53,204.0,-1.14,-0.31,10.28
0.0,205.0,-1.92,-0.71,10.04
0.0,203.0,-1.22,-0.31,9.85
